s0,w0,wa,chi2
0.01,-1.000073166312608,0.0008420448906599415,2.726502267651468e-06
0.02,-1.0002924786641685,0.0033670423976120776,4.351949840889021e-05
0.03,-1.0006573686391091,0.007571559015281102,0.00021943657845314662
0.04,-1.0011668712430983,0.013449772319523053,0.0006896380652584626
0.05,-1.001819609122275,0.020993395450180224,0.001671509362712984
0.06,-1.0026137348650237,0.030191422177360257,0.0034352853714369447
0.07,-1.0035469113899944,0.04102999711927853,0.006297233421830825
0.08,-1.004616239837456,0.05349209075468375,0.010611471878551805
0.09,-1.0058181960345889,0.06755716998092154,0.0167605253932402
0.1,-1.0071485724374984,0.08320095066052305,0.025144745031543674
0.11,-1.0086023702014328,0.10039489006463759,0.03617075220923714
0.12,-1.0101737494948602,0.11910592362898884,0.050239099223406636
0.13,-1.0118559208952314,0.1392960148169802,0.06773137539604902
0.14,-1.0136410333049402,0.16092162890058553,0.0889970251929324
0.15,-1.0155201283557933,0.18393355221178503,0.11434018130762369
0.16,-1.0174830209796584,0.2082763955203623,0.14400684919905177
0.17,-1.0195182461737151,0.23388841978030697,0.17817280701981159
0.18,-1.0216129568204964,0.26070113490150193,0.21693260297201306
0.19,-1.023752947665554,0.2886394588405806,0.26029003743058526
0.2,-1.0259225591892651,0.31762154745176174,0.30815050645680825
0.21,-1.0281047525299492,0.34755909685065656,0.3603155539843063
0.22,-1.0302810556514361,0.3783574571421092,0.4164799304896326
0.23,-1.0324317128977745,0.40991631963859376,0.47623138641945406
0.24,-1.034535728715261,0.4421302858119344,0.5390533409361822
0.25,-1.0365710231111334,0.4748896892302305,0.6043304645936185
0.26,-1.0385145554503037,0.5080814267935331,0.6713571041275137
0.27,-1.0403425311377072,0.5415900947100996,0.7393483658313851
0.28,-1.0420305681406992,0.575299043820404,0.807453568866731
0.29,-1.043553937296096,0.6090915733906287,0.8747716889801911
0.3,-1.04488771978414,0.6428518916753967,0.9403683430349514
0.31,-1.0460070379936743,0.6764663419981066,1.0032938200909376
0.32,-1.046887243651584,0.7098243612091647,1.0626016476140328
0.33,-1.0475040433976852,0.7428191863209676,1.117367191278921
0.34,-1.0478336576041354,0.775348643510576,1.166705820810284
0.35000000000000003,-1.0478529632748836,0.8073158520347964,1.2097902275988646
0.36,-1.0475395152464269,0.8386294057644782,1.245866546457389
0.37,-1.0468716105894784,0.8692035546170802,1.274269007554817
0.38,-1.045828342103634,0.8989586137960648,1.2944329192961332
0.39,-1.04438953436645,0.9278205125298338,1.3059058536464223
0.4,-1.0425357551426255,0.9557209832993199,1.3083569682966076
